episode_number,game_number,rank_after,rank_letter,result,rank_change,level_rating,vs_level,level_style
31,746,3715,A,Loss,-14,Unknown,No,SMB3
31,747,3712,A,Loss,-3,Boo,No,SMB1
32,748,3699,A,Loss,-13,Like,No,SM3D
32,749,3697,A,Loss,-2,Like,Yes,SMB1
32,750,3736,A,Win,39,Unknown,No,SMW
32,751,3734,A,Loss,-2,Unknown,No,SM3DW
32,752,3717,A,Loss,-17,Boo,No,SMB1
32,753,3761,A,Win,44,Like,No,SM3DW
32,754,3758,A,Loss,-3,Unknown,No,NSMBU
32,755,3744,A,Loss,-14,Like,Yes,SM3DW
32,756,3730,A,Loss,-14,Boo,No,SM3DW
32,757,3719,A,Loss,-11,Like,Yes,SMW
32,758,3716,A,Loss,-3,Like,Yes,NSMBU
32,759,3699,A,Loss,-17,Unknown,No,NSMBU
32,760,3683,A,Loss,-16,Unknown,No,SMB1
32,761,3668,A,Loss,-15,Like,Yes,SMW
32,762,3653,A,Loss,-15,Unknown,No,SMW
32,763,3692,A,Win,39,Unknown,No,SMB3
32,764,3676,A,Loss,-16,Unknown,No,NSMBU
32,765,3717,A,Win,41,Unknown,No,SMB3
32,766,3707,A,Loss,-10,Unknown,No,SM3DW
32,767,3693,A,Loss,-14,Unknown,No,SM3DW
32,768,3680,A,Loss,-13,Unknown,No,NSMBU
32,769,3676,A,Loss,-4,Unknown,No,SM3DW
32,770,3660,A,Loss,-16,Unknown,No,NSMBU
32,771,3643,A,Loss,-17,Unknown,No,SM3DW
32,772,3681,A,Win,38,Unknown,No,SM3DW
32,773,3665,A,Loss,-16,Unknown,No,NSMBU
32,774,3662,A,Loss,-3,Unknown,Yes,SMB1
32,775,3646,A,Loss,-16,Unknown,No,NSMBU
32,776,3630,A,Loss,-16,Like,No,SMB1
32,777,3671,A,Win,41,Like,No,SMW
33,778,3659,A,Loss,-12,Boo,No,NSMB
33,779,3697,A,Win,38,Like,No,NSMBU
33,780,3691,A,Loss,-6,Meh,No,SMW
33,781,3676,A,Loss,-15,Meh,No,NSMBU
33,782,3676,A,Draw,0,Boo,No,SMB1
33,783,3664,A,Loss,-12,Like,No,NSMBU
33,784,3650,A,Loss,-14,Boo,Yes,SMB3
33,785,3699,A,Win,49,Like,No,SMW
33,786,3696,A,Loss,-3,Like,Yes,SMB1
33,787,3736,A,Win,40,Unknown,No,SM3DW
33,788,3782,A,Win,46,Like,No,NSMBU
33,789,3829,A,Win,47,Boo,No,NSMBU
33,790,3825,A,Loss,-4,Like,No,NSMBU
33,791,3812,A,Loss,-13,Like,No,NSMBU
33,792,3809,A,Loss,-3,Like,No,SM3DW
